from,to,percent,number,absvalue,lat,lng,source,target
潜江市,黄石市,0.27,2838.5640000000003,7.664122800000001,30.40220042749318,112.89899997927145,6,3
潜江市,神农架林区,0.14,2838.5640000000003,3.9739896000000012,30.40220042749318,112.89899997927145,6,4
潜江市,鄂州市,0.13,2838.5640000000003,3.690133200000001,30.40220042749318,112.89899997927145,6,8
潜江市,荆州市,31.3,2838.5640000000003,888.470532,30.40220042749318,112.89899997927145,6,9
潜江市,仙桃市,15.36,2838.5640000000003,436.0034304,30.40220042749318,112.89899997927145,6,2
潜江市,武汉市,11.88,2838.5640000000003,337.22140320000005,30.40220042749318,112.89899997927145,6,15
潜江市,荆门市,8.29,2838.5640000000003,235.3169556,30.40220042749318,112.89899997927145,6,5
潜江市,天门市,7.76,2838.5640000000003,220.27256640000004,30.40220042749318,112.89899997927145,6,14
潜江市,宜昌市,2.48,2838.5640000000003,70.3963872,30.40220042749318,112.89899997927145,6,16
潜江市,孝感市,1.96,2838.5640000000003,55.63585440000001,30.40220042749318,112.89899997927145,6,7
潜江市,襄阳市,1.22,2838.5640000000003,34.63048080000001,30.40220042749318,112.89899997927145,6,13
潜江市,恩施土家族苗族自治州,1.16,2838.5640000000003,32.9273424,30.40220042749318,112.89899997927145,6,10
潜江市,黄冈市,1.15,2838.5640000000003,32.643486,30.40220042749318,112.89899997927145,6,12
潜江市,十堰市,0.77,2838.5640000000003,21.856942800000002,30.40220042749318,112.89899997927145,6,11
潜江市,咸宁市,0.58,2838.5640000000003,16.4636712,30.40220042749318,112.89899997927145,6,0
潜江市,随州市,0.44,2838.5640000000003,12.4896816,30.40220042749318,112.89899997927145,6,1
潜江市,黄石市,0.27,2838.5640000000003,7.664122800000001,30.40220042749318,112.89899997927145,6,3
潜江市,神农架林区,0.14,2838.5640000000003,3.9739896000000012,30.40220042749318,112.89899997927145,6,4
潜江市,鄂州市,0.13,2838.5640000000003,3.690133200000001,30.40220042749318,112.89899997927145,6,8
潜江市,荆州市,31.3,2838.5640000000003,888.470532,30.40220042749318,112.89899997927145,6,9
潜江市,仙桃市,15.36,2838.5640000000003,436.0034304,30.40220042749318,112.89899997927145,6,2
潜江市,武汉市,11.88,2838.5640000000003,337.22140320000005,30.40220042749318,112.89899997927145,6,15
潜江市,荆门市,8.29,2838.5640000000003,235.3169556,30.40220042749318,112.89899997927145,6,5
潜江市,天门市,7.76,2838.5640000000003,220.27256640000004,30.40220042749318,112.89899997927145,6,14
潜江市,宜昌市,2.48,2838.5640000000003,70.3963872,30.40220042749318,112.89899997927145,6,16
潜江市,孝感市,1.96,2838.5640000000003,55.63585440000001,30.40220042749318,112.89899997927145,6,7
潜江市,襄阳市,1.22,2838.5640000000003,34.63048080000001,30.40220042749318,112.89899997927145,6,13
潜江市,恩施土家族苗族自治州,1.16,2838.5640000000003,32.9273424,30.40220042749318,112.89899997927145,6,10
潜江市,黄冈市,1.15,2838.5640000000003,32.643486,30.40220042749318,112.89899997927145,6,12
潜江市,十堰市,0.77,2838.5640000000003,21.856942800000002,30.40220042749318,112.89899997927145,6,11
潜江市,咸宁市,0.58,2838.5640000000003,16.4636712,30.40220042749318,112.89899997927145,6,0
潜江市,随州市,0.44,2838.5640000000003,12.4896816,30.40220042749318,112.89899997927145,6,1
潜江市,黄石市,0.27,2838.5640000000003,7.664122800000001,30.40220042749318,112.89899997927145,6,3
潜江市,神农架林区,0.14,2838.5640000000003,3.9739896000000012,30.40220042749318,112.89899997927145,6,4
潜江市,鄂州市,0.13,2838.5640000000003,3.690133200000001,30.40220042749318,112.89899997927145,6,8
恩施土家族苗族自治州,宜昌市,12.68,5968.728,756.8347104000001,30.272200939196907,109.4879997112762,10,16
恩施土家族苗族自治州,武汉市,5.39,5968.728,321.71443919999996,30.272200939196907,109.4879997112762,10,15
恩施土家族苗族自治州,荆州市,2.96,5968.728,176.67434880000002,30.272200939196907,109.4879997112762,10,9
恩施土家族苗族自治州,荆门市,1.44,5968.728,85.9496832,30.272200939196907,109.4879997112762,10,5
恩施土家族苗族自治州,襄阳市,0.97,5968.728,57.896661599999995,30.272200939196907,109.4879997112762,10,13
恩施土家族苗族自治州,黄冈市,0.93,5968.728,55.5091704,30.272200939196907,109.4879997112762,10,12
恩施土家族苗族自治州,孝感市,0.83,5968.728,49.5404424,30.272200939196907,109.4879997112762,10,7
恩施土家族苗族自治州,天门市,0.55,5968.728,32.828004,30.272200939196907,109.4879997112762,10,14
恩施土家族苗族自治州,仙桃市,0.54,5968.728,32.23113120000001,30.272200939196907,109.4879997112762,10,2
恩施土家族苗族自治州,十堰市,0.54,5968.728,32.23113120000001,30.272200939196907,109.4879997112762,10,11
恩施土家族苗族自治州,神农架林区,0.48,5968.728,28.649894399999997,30.272200939196907,109.4879997112762,10,4
恩施土家族苗族自治州,咸宁市,0.47,5968.728,28.053021599999997,30.272200939196907,109.4879997112762,10,0
恩施土家族苗族自治州,潜江市,0.47,5968.728,28.053021599999997,30.272200939196907,109.4879997112762,10,6
恩施土家族苗族自治州,随州市,0.39,5968.728,23.278039200000002,30.272200939196907,109.4879997112762,10,1
恩施土家族苗族自治州,黄石市,0.28,5968.728,16.7124384,30.272200939196907,109.4879997112762,10,3
随州市,武汉市,21.39,4059.072,868.2355008,31.69030058523121,113.38299957624614,1,15
随州市,孝感市,16.33,4059.072,662.8464576,31.69030058523121,113.38299957624614,1,7
随州市,襄阳市,14.24,4059.072,578.0118528,31.69030058523121,113.38299957624614,1,13
随州市,荆门市,2.93,4059.072,118.93080960000002,31.69030058523121,113.38299957624614,1,5
随州市,十堰市,2.07,4059.072,84.02279039999999,31.69030058523121,113.38299957624614,1,11
随州市,黄冈市,1.83,4059.072,74.2810176,31.69030058523121,113.38299957624614,1,12
随州市,荆州市,1.68,4059.072,68.1924096,31.69030058523121,113.38299957624614,1,9
随州市,宜昌市,1.54,4059.072,62.509708800000006,31.69030058523121,113.38299957624614,1,16
随州市,天门市,0.94,4059.072,38.155276799999996,31.69030058523121,113.38299957624614,1,14
随州市,咸宁市,0.72,4059.072,29.225318400000003,31.69030058523121,113.38299957624614,1,0
随州市,黄石市,0.71,4059.072,28.8194112,31.69030058523121,113.38299957624614,1,3
随州市,仙桃市,0.47,4059.072,19.077638399999998,31.69030058523121,113.38299957624614,1,2
随州市,恩施土家族苗族自治州,0.45,4059.072,18.265824,31.69030058523121,113.38299957624614,1,10
随州市,鄂州市,0.39,4059.072,15.8303808,31.69030058523121,113.38299957624614,1,8
随州市,潜江市,0.36,4059.072,14.612659200000001,31.69030058523121,113.38299957624614,1,6
咸宁市,武汉市,32.13,6256.764,2010.2982732,29.841199638680287,114.32200002765934,0,15
咸宁市,黄石市,9.18,6256.764,574.3709352000001,29.841199638680287,114.32200002765934,0,3
咸宁市,荆州市,5.34,6256.764,334.1111976,29.841199638680287,114.32200002765934,0,9
咸宁市,黄冈市,3.0,6256.764,187.70292,29.841199638680287,114.32200002765934,0,12
咸宁市,孝感市,2.76,6256.764,172.68668639999999,29.841199638680287,114.32200002765934,0,7
咸宁市,鄂州市,1.73,6256.764,108.2420172,29.841199638680287,114.32200002765934,0,8
咸宁市,宜昌市,1.29,6256.764,80.7122556,29.841199638680287,114.32200002765934,0,16
咸宁市,襄阳市,1.23,6256.764,76.9581972,29.841199638680287,114.32200002765934,0,13
咸宁市,荆门市,1.19,6256.764,74.4554916,29.841199638680287,114.32200002765934,0,5
咸宁市,恩施土家族苗族自治州,0.91,6256.764,56.936552400000004,29.841199638680287,114.32200002765934,0,10
咸宁市,随州市,0.91,6256.764,56.936552400000004,29.841199638680287,114.32200002765934,0,1
咸宁市,仙桃市,0.77,6256.764,48.1770828,29.841199638680287,114.32200002765934,0,2
咸宁市,天门市,0.67,6256.764,41.920318800000004,29.841199638680287,114.32200002765934,0,14
咸宁市,十堰市,0.5,6256.764,31.283820000000002,29.841199638680287,114.32200002765934,0,11
咸宁市,潜江市,0.29,6256.764,18.144615599999998,29.841199638680287,114.32200002765934,0,6
黄石市,鄂州市,24.92,7713.7919999999995,1922.2769664,30.19939960293492,115.03900003418904,3,8
黄石市,武汉市,20.25,7713.7919999999995,1562.04288,30.19939960293492,115.03900003418904,3,15
黄石市,黄冈市,16.07,7713.7919999999995,1239.6063743999998,30.19939960293492,115.03900003418904,3,12
黄石市,咸宁市,6.88,7713.7919999999995,530.7088896,30.19939960293492,115.03900003418904,3,0
黄石市,孝感市,1.44,7713.7919999999995,111.0786048,30.19939960293492,115.03900003418904,3,7
黄石市,荆州市,1.16,7713.7919999999995,89.4799872,30.19939960293492,115.03900003418904,3,9
黄石市,襄阳市,0.84,7713.7919999999995,64.79585279999999,30.19939960293492,115.03900003418904,3,13
黄石市,宜昌市,0.81,7713.7919999999995,62.4817152,30.19939960293492,115.03900003418904,3,16
黄石市,恩施土家族苗族自治州,0.63,7713.7919999999995,48.5968896,30.19939960293492,115.03900003418904,3,10
黄石市,荆门市,0.61,7713.7919999999995,47.05413119999999,30.19939960293492,115.03900003418904,3,5
黄石市,随州市,0.59,7713.7919999999995,45.51137279999999,30.19939960293492,115.03900003418904,3,1
黄石市,天门市,0.49,7713.7919999999995,37.7975808,30.19939960293492,115.03900003418904,3,14
黄石市,仙桃市,0.4,7713.7919999999995,30.855168,30.19939960293492,115.03900003418904,3,2
黄石市,十堰市,0.36,7713.7919999999995,27.7696512,30.19939960293492,115.03900003418904,3,11
黄石市,潜江市,0.18,7713.7919999999995,13.8848256,30.19939960293492,115.03900003418904,3,6
孝感市,武汉市,45.98,10533.888,4843.4817024,30.92480004292067,113.91599992196133,7,15
孝感市,随州市,7.32,10533.888,771.0806016000001,30.92480004292067,113.91599992196133,7,1
孝感市,天门市,4.49,10533.888,472.9715712,30.92480004292067,113.91599992196133,7,14
孝感市,黄冈市,3.75,10533.888,395.0208,30.92480004292067,113.91599992196133,7,12
孝感市,荆门市,3.27,10533.888,344.45813760000004,30.92480004292067,113.91599992196133,7,5
孝感市,仙桃市,3.04,10533.888,320.2301952,30.92480004292067,113.91599992196133,7,2
孝感市,荆州市,2.44,10533.888,257.0268672,30.92480004292067,113.91599992196133,7,9
孝感市,宜昌市,1.99,10533.888,209.6243712,30.92480004292067,113.91599992196133,7,16
孝感市,襄阳市,1.99,10533.888,209.6243712,30.92480004292067,113.91599992196133,7,13
孝感市,咸宁市,1.27,10533.888,133.7803776,30.92480004292067,113.91599992196133,7,0
孝感市,十堰市,0.93,10533.888,97.96515840000002,30.92480004292067,113.91599992196133,7,11
孝感市,黄石市,0.85,10533.888,89.538048,30.92480004292067,113.91599992196133,7,3
孝感市,恩施土家族苗族自治州,0.75,10533.888,79.00416000000001,30.92480004292067,113.91599992196133,7,10
孝感市,潜江市,0.59,10533.888,62.1499392,30.92480004292067,113.91599992196133,7,6
孝感市,鄂州市,0.58,10533.888,61.0965504,30.92480004292067,113.91599992196133,7,8
黄冈市,武汉市,36.12,12052.152,4353.2373024,30.45339975507176,114.87200001362683,12,15
黄冈市,黄石市,9.3,12052.152,1120.850136,30.45339975507176,114.87200001362683,12,3
黄冈市,鄂州市,4.17,12052.152,502.5747384,30.45339975507176,114.87200001362683,12,8
